x;y
0;88.430777
1;88.722902
2;89.016099
3;89.310305
4;89.605429
5;89.901358
6;90.197932
7;90.494768
8;90.789978
9;91.084700
10;91.380661
11;91.677198
12;91.972137
13;92.267278
14;92.563825
15;92.860567
16;93.156017
17;93.452110
18;93.748565
19;94.044214
20;94.339546
21;94.636125
22;94.932736
23;95.227840
24;95.523550
25;95.820652
26;96.117362
27;96.412656
28;96.708563
29;97.005309
30;97.301490
31;97.597088
32;97.893503
33;98.189890
34;98.485858
35;98.781882
36;99.078672
37;99.375092
38;99.671000
39;99.966916
40;100.263398
41;100.559956
42;100.856171
43;101.151995
44;101.448195
45;101.745049
46;102.041489
47;102.337444
48;102.633612
49;102.930419
50;103.226530
51;103.522481
52;103.819090
53;104.115893
54;104.411581
55;104.707626
56;105.004727
57;105.301569
58;105.597090
59;105.893121
60;106.190233
61;106.486792
62;106.782568
63;107.078835
64;107.375734
65;107.672042
66;107.968124
67;108.264748
68;108.561549
69;108.857616
70;109.153653
71;109.450337
72;109.747175
73;110.043383
74;110.339296
75;110.635914
76;110.932774
77;111.229278
78;111.525282
79;111.821725
80;112.118432
81;112.414923
82;112.711053
83;113.007615
84;113.304266
85;113.600573
86;113.896775
87;114.193524
88;114.490410
89;114.786507
90;115.082540
91;115.379251
92;115.676336
93;115.972475
94;116.268412
95;116.565092
96;116.862211
97;117.158355
98;117.454498
99;117.751302
100;118.048125
101;118.344073
102;118.640396
103;118.937524
104;119.234113
105;119.529885
106;119.826320
107;120.123622
108;120.420190
109;120.716027
110;121.012448
111;121.309548
112;121.606031
113;121.902149
114;122.198715
115;122.495476
116;122.791922
117;123.088220
118;123.384961
119;123.681666
120;123.978074
121;124.274236
122;124.570914
123;124.867785
124;125.164358
125;125.460329
126;125.756847
127;126.053879
128;126.350597
129;126.646613
130;126.943004
131;127.240046
132;127.536609
133;127.832683
134;128.129299
135;128.426357
136;128.722582
137;129.018674
138;129.315595
139;129.612785
140;129.908763
141;130.204769
142;130.501781
143;130.798928
144;131.094978
145;131.391041
146;131.688021
147;131.984962
148;132.281114
149;132.577461
150;132.874464
151;133.171069
152;133.467185
153;133.763694
154;134.060788
155;134.357343
156;134.653370
157;134.949869
158;135.246942
159;135.543706
160;135.839780
161;136.136160
162;136.433050
163;136.729888
164;137.026080
165;137.322541
166;137.619282
167;137.916055
168;138.212264
169;138.508846
170;138.805763
171;139.102394
172;139.398415
173;139.694959
174;139.992128
175;140.288787
176;140.584669
177;140.881117
178;141.178400
179;141.475071
180;141.771059
181;142.067505
182;142.364699
183;142.661188
184;142.957230
185;143.253985
186;143.551113
187;143.847305
188;144.143332
189;144.440395
190;144.737549
191;145.033616
192;145.329581
193;145.626684
194;145.923720
195;146.219912
196;146.516020
197;146.812974
198;147.109817
199;147.406097
200;147.702516
201;147.999394
202;148.296041
203;148.592260
204;148.888785
205;149.185650
206;149.482438
207;149.778557
208;150.074933
209;150.371780
210;150.668842
211;150.965004
212;151.261144
213;151.557963
214;151.855058
215;152.151246
216;152.447428
217;152.744321
218;153.041228
219;153.337312
220;153.633641
221;153.930850
222;154.227522
223;154.523347
224;154.819767
225;155.117165
226;155.413783
227;155.709504
228;156.005985
229;156.303297
230;156.599882
231;156.895781
232;157.192387
233;157.489412
234;157.785862
235;158.081872
236;158.378724
237;158.675627
238;158.971884
239;159.267905
240;159.564852
241;159.861829
242;160.158080
243;160.454045
244;160.750822
245;161.047827
246;161.344189
247;161.640267
248;161.936818
249;162.233779
250;162.530128
251;162.826378
252;163.122971
253;163.419825
254;163.716019
255;164.012224
256;164.308959
257;164.605929
258;164.901998
259;165.197966
260;165.494815
261;165.791914
262;166.088023
263;166.383811
264;166.680676
265;166.977685
266;167.273754
267;167.569703
268;167.866622
